,0
0,1
1,0
2,3
3,0
4,1
5,1
6,0
7,1
8,0
9,1
10,1
11,2
12,1
13,1
14,0
15,1
16,2
17,1
18,4
19,1
20,1
21,2
22,1
23,1
24,1
25,0
26,2
27,1
28,1
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,1
52,1
53,0
54,1
55,1
56,1
57,3
58,1
59,1
60,1
61,1
62,1
63,0
64,2
65,1
66,0
67,1
68,0
69,0
70,1
71,1
72,0
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,2
90,0
91,1
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,0
103,0
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,1
113,1
114,0
115,1
116,0
117,0
118,0
119,2
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,1
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,0
143,0
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,0
157,1
158,1
159,0
160,0
161,0
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,0
170,0
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,3
179,0
180,1
181,1
182,1
183,0
184,0
185,0
186,0
187,1
188,0
189,1
190,1
191,1
192,1
193,0
194,1
195,1
196,0
197,1
198,0
199,1
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,2
210,1
211,1
212,1
213,0
214,1
215,1
216,0
217,1
218,2
219,0
220,1
221,1
222,1
223,0
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,1
242,0
243,1
244,0
245,1
246,2
247,0
248,0
249,2
250,1
251,1
252,1
253,0
254,1
255,1
256,1
257,1
258,1
259,1
260,2
261,0
262,1
263,1
264,0
265,0
266,1
267,1
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,1
287,0
288,1
289,2
290,0
291,1
292,1
293,1
294,1
295,2
296,2
297,0
298,0
299,1
300,0
301,1
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,0
316,1
317,1
318,2
319,1
320,1
321,0
322,1
323,1
324,0
325,1
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,1
334,1
335,0
336,2
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0
345,1
346,1
347,0
348,2
349,1
350,0
351,1
352,0
353,1
354,0
355,1
356,1
357,1
358,0
359,2
360,1
361,1
362,2
363,1
364,0
365,1
366,1
367,1
368,0
369,1
370,1
371,0
372,0
373,1
374,1
375,1
376,0
377,0
378,0
379,0
380,1
381,1
382,1
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,1
392,0
393,1
394,1
395,0
396,0
397,2
398,1
399,1
400,1
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,3
410,1
411,0
412,0
413,0
414,2
415,1
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,2
424,0
425,1
426,0
427,1
428,2
429,1
430,1
431,1
432,1
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,0
444,1
445,0
446,1
447,0
448,0
449,1
450,0
451,0
452,2
453,1
454,1
455,1
456,1
457,0
458,1
459,0
460,0
461,0
462,1
463,0
464,0
465,0
466,1
467,1
468,0
469,2
470,1
471,1
472,1
473,0
474,3
475,0
476,1
477,0
478,1
479,0
480,1
481,0
482,1
483,1
484,0
485,0
486,1
487,0
488,0
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,0
497,1
498,0
499,1
500,1
501,1
502,2
503,1
504,1
505,1
506,1
507,0
508,2
509,0
510,0
511,1
512,0
513,0
514,0
515,2
516,0
517,0
518,1
519,1
520,1
521,1
522,1
523,0
524,0
525,1
526,1
527,0
528,2
529,1
530,0
531,0
532,1
533,0
534,1
535,0
536,1
537,1
538,0
539,0
540,1
541,1
542,1
543,0
544,0
545,1
546,1
547,0
548,1
549,1
550,0
551,0
552,0
553,1
554,1
555,0
556,1
557,0
558,0
559,1
560,2
561,1
562,0
563,1
564,0
565,1
566,2
567,0
568,0
569,1
570,0
571,0
572,0
573,0
574,1
575,2
576,1
577,1
578,1
579,0
580,0
581,2
582,1
583,1
584,0
585,3
586,1
587,0
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,1
596,0
597,1
598,1
599,2
600,0
601,1
602,0
603,2
604,1
605,4
606,1
607,1
608,1
609,0
610,0
611,1
612,1
613,0
614,0
615,1
616,1
617,1
618,0
619,0
620,1
621,1
622,2
623,0
624,1
625,1
626,0
627,0
628,1
629,0
630,0
631,0
632,0
633,1
634,0
635,1
636,1
637,0
638,3
639,2
640,2
641,1
642,0
643,2
644,0
645,0
646,1
647,1
648,1
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,1
657,1
658,0
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,1
667,1
668,1
669,0
670,2
671,0
672,1
673,0
674,1
675,1
676,1
677,0
678,0
679,0
680,0
681,0
682,0
683,1
684,1
685,1
686,1
687,1
688,0
689,1
690,2
691,1
692,2
693,1
694,1
695,1
696,0
697,3
698,0
699,0
700,1
701,0
702,0
703,1
704,0
705,0
706,1
707,1
708,1
709,2
710,0
711,0
712,0
713,2
714,0
715,1
716,0
717,0
718,1
719,1
720,1
721,0
722,0
723,1
724,2
725,1
726,1
727,1
728,1
729,1
730,0
731,0
732,1
733,1
734,1
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,1
743,2
744,1
745,1
746,0
747,0
748,0
749,0
750,2
751,1
752,1
753,1
754,0
755,1
756,0
757,0
758,0
759,1
760,1
761,1
762,0
763,2
764,1
765,2
766,3
767,0
768,1
769,0
770,0
771,0
772,1
773,1
774,0
775,0
776,1
777,1
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,1
786,0
787,1
788,0
789,2
790,1
791,1
792,1
793,1
794,0
795,0
796,0
797,1
798,2
799,1
800,0
801,1
802,1
803,1
804,0
805,1
806,1
807,0
808,1
809,0
810,0
811,0
812,0
813,1
814,0
815,0
816,0
817,1
818,1
819,0
820,0
821,1
822,1
823,1
824,1
825,1
826,0
827,0
828,0
829,0
830,1
831,1
832,1
833,0
834,0
835,1
836,1
837,0
838,1
839,1
840,0
841,1
842,2
843,1
844,1
845,1
846,2
847,0
848,1
849,0
850,1
851,1
852,1
853,0
854,0
855,0
856,0
857,0
858,1
859,0
860,2
861,0
862,0
863,1
864,0
865,1
866,0
867,0
868,1
869,1
870,0
871,1
872,1
873,1
874,0
875,1
876,2
877,0
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,2
889,0
890,0
891,3
892,3
893,1
894,0
895,1
896,1
897,0
898,0
899,1
900,0
901,0
902,0
903,0
904,1
905,0
906,0
907,0
908,1
909,1
910,0
911,0
912,0
913,1
914,1
915,0
916,1
917,1
918,0
919,0
920,1
921,1
922,1
923,1
924,1
925,1
926,0
927,0
928,1
929,1
930,1
931,1
932,1
933,1
934,0
935,3
936,1
937,0
938,1
939,1
940,2
941,1
942,0
943,0
944,1
945,2
946,1
947,2
948,1
949,1
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,1
959,0
960,0
961,0
962,0
963,1
964,1
965,1
966,1
967,0
968,1
969,1
970,1
971,0
972,1
973,0
974,2
975,1
976,1
977,1
978,1
979,1
980,0
981,1
982,0
983,0
984,0
985,1
986,1
987,0
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,0
996,1
997,1
998,0
999,0
1000,1
1001,1
1002,1
1003,1
1004,1
1005,0
1006,1
1007,1
1008,1
1009,0
1010,2
1011,1
1012,0
1013,0
1014,0
1015,2
1016,1
1017,1
1018,1
1019,1
1020,0
1021,2
1022,1
1023,0
1024,0
1025,1
1026,1
1027,1
1028,1
1029,1
1030,0
1031,0
1032,1
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,0
1042,1
1043,1
1044,0
1045,1
1046,0
1047,1
1048,1
1049,0
1050,1
1051,1
1052,0
1053,1
1054,2
1055,1
1056,1
1057,0
1058,2
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,0
1067,2
1068,0
1069,0
1070,1
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,1
1080,0
1081,0
1082,0
1083,1
1084,0
1085,0
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,0
1093,1
1094,1
1095,2
1096,1
1097,2
1098,0
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,1
1106,0
1107,0
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,0
1120,1
1121,1
1122,0
1123,0
1124,2
1125,1
1126,1
1127,1
1128,0
1129,1
1130,0
1131,0
1132,1
1133,0
1134,1
1135,1
1136,0
1137,1
1138,0
1139,1
1140,1
1141,0
1142,1
1143,1
1144,1
1145,2
1146,1
1147,0
1148,1
1149,1
1150,2
1151,1
1152,1
1153,2
1154,0
1155,1
1156,0
1157,0
1158,0
1159,1
1160,3
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,1
1168,0
1169,1
1170,0
1171,2
1172,1
1173,1
1174,0
1175,1
1176,1
1177,0
1178,1
1179,0
1180,0
1181,1
1182,1
1183,1
1184,1
1185,0
1186,3
1187,1
1188,2
1189,1
1190,0
1191,1
1192,3
1193,0
1194,0
1195,2
1196,1
1197,0
1198,1
1199,1
1200,1
1201,1
1202,0
1203,0
1204,0
1205,1
1206,1
1207,1
1208,1
1209,2
1210,2
1211,1
1212,1
1213,1
1214,1
1215,1
1216,0
1217,0
1218,2
1219,0
1220,1
1221,0
1222,1
1223,0
1224,1
1225,1
1226,1
1227,1
1228,1
1229,0
1230,1
